,formulas,,Tubo aberto aberto,k,lambda,frequencia,n,,Tubo aberto fechado,k,lambda,frequencia,n,,ressoadores,Velocidade do som com valores encontrados,Frequencia encontrada (usar essa),Frequencia encontrada,volume usado,Frequencia Esperada,multiplicacao v * raiz,raízes para cada volume,raio,volume,Tamanho L,,massa da garrada
Tubo aberto-aberto,k*L = n*pi,,,"6,135923152","1,024","342,7929688",1,,,"3,067961576","2,048","171,3964844",1,,,"355,0386048",95,95hz,"0,0009349","93,92471565","590,1463934","1,681232959","0,008","0,0009349","0,0852",,501
Tubo aberto-fechado,k*L = n*pi/2,,,"12,2718463","0,512","685,5859375",2,,,"6,135923152","1,024","342,7929688",2,,,"411,0973319",110,110hz,"0,0008349","93,92471565","590,1463934","1,6812329592894","0,008","0,0008349","0,0852",,
Tubo fechado-fechado,k*L = n*pi,,,"18,40776945","0,3413333333","1028,378906",3,,,"9,203884727","0,6826666667","514,1894531",3,,,"420,7558008",120,120hz,"0,0007349","100,1112758","629,0176969","1,7919711039782","0,008","0,0007349","0,0852",,
,v = lambda * f,,,"24,54369261","0,256","1371,171875",4,,,"12,2718463","0,512","685,5859375",4,,,"407,3778567",125,125hz,"0,0006349","107,7071306","676,7438602","1,9279353319185","0,008","0,0006349","0,0852",,
v,"351,02",,,"30,67961576","0,2048","1713,964844",5,,,"15,33980788","0,4096","856,9824219",5,,,"404,2131048",135,135hz,"0,0005359","117,2344475","736,6057579","2,0984723317454","0,008","0,0005359","0,0852",,
,l = 050138,,,"36,81553891","0,1706666667","2056,757813",6,,,"18,40776945","0,3413333333","1028,378906",6,,,"405,0600724",150,150hz,"0,0004359","129,9881267","816,7394877","2,3267605482802","0,008","0,0004359","0,0852",,
,"0,512",,,"42,95146206","0,1462857143","2399,550781",7,,,"21,47573103","0,2925714286","1199,775391",7,,,"414,8372943",175,175hz,"0,0003359","148,0785379","930,4048935","2,6505751624157","0,008","0,0003359","0,0852",,
,,,,"49,08738521","0,128","2742,34375",8,,,"24,54369261","0,256","1371,171875",8,,,"407,2420115",205,205hz,"0,0002359","176,6986165","1110,230151","3,1628686422232","0,008","0,0002359","0,0852",,
L da garrafa,"7,36cm","0,00002 de incerteza",,"55,22330836","0,1137777778","3085,136719",9,,,"27,61165418","0,2275555556","1542,568359",9,,,"376,9506352",250,250hz,"0,0001359","232,8023667","1462,74041","4,1671141530245","0,008","0,0001359","0,0852",,
,"0,0736",,,"61,35923152","0,1024","3427,929688",10,,,"30,67961576","0,2048","1713,964844",10,,,"278,9873216",360,360hz,"0,0000359","452,9496154","2845,966368","8,1077043134514","0,008","0,0000359","0,0852",,
raio ,"0,008",,,,,,,,,,,,,,,,,,,,,,,,,,
,"0,0852",,,,,,,,,,,,,,,,,,,,,,,,,,
volume do gargalo ,"0,000052",,,,,,,,,,,,,,,,,,,,,,,,,,
,"0,0000691",,,,,,,,,,,,,,,,,,,,,,,,,,
raio tubo,3.9 cm,,,,,,,,,,,,,,,,,,,,,,,,,,