frequency (Hz),audio amplitude (a.u.),referencia,Amplitude Normalizada,Nivel Sonoro (db)
200,"1,312870343","1,059897323","1,238676912","0,9295804272"
250,"1,840104077","1,436193083","1,281237251","1,076295568"
300,"2,655132616","2,133078269","1,244742237","0,9507942638"
350,"1,890401041","2,927572838","0,6457229745","-1,899537613"
400,"2,6076596","3,440249773","0,7579855453","-1,203390763"
450,"3,606853429","4,197382112","0,8593102398","-0,6585001302"
500,"4,246705404","4,951705298","0,8576248279","-0,6670265482"
550,"5,788285875","5,854279417","0,9887272989","-0,04923474745"
600,"6,883472918","6,677898894","1,030784237","0,1316776871"
650,"16,88864297","6,687293771","2,525482437","4,023443526"
700,"9,848936078","6,539155276","1,506148067","1,778676687"
750,"4,562922387","6,697152547","0,6813227495","-1,666471097"
800,"6,10954748","7,151150051","0,8543447468","-0,6836684659"
850,"7,55598838","7,563344085","0,9990274533","-0,004225771675"
900,"8,881809705","7,761759722","1,144303615","0,5854126975"
950,"14,16494761","8,41832394","1,682632756","2,259893391"
1000,"9,311489895","8,25183213","1,128414848","0,5246879192"
1050,"4,397365958","8,875172468","0,495468226","-3,049841913"
1100,"4,807030469","10,43941284","0,4604694289","-3,367991978"
1150,"7,196248102","10,63702982","0,6765279616","-1,697142488"
1200,"9,559864349","11,49566249","0,831606213","-0,8008227469"
1250,"12,64228365","11,31117851","1,1176805","0,4831767384"
1300,"17,51553573","10,7258364","1,633022832","2,129922568"
1350,"8,606709199","10,58557827","0,813059899","-0,8987745829"
1400,"3,855376926","10,51125456","0,366785611","-4,355877101"
1450,"8,284214751","12,05624492","0,6871305955","-1,629607134"
1500,"12,8378757","13,57121672","0,9459635024","-0,2412561943"
1550,"17,1654307","14,239937","1,205442882","0,8114663693"
1600,"20,74546469","15,9926418","1,297188104","1,130029572"
1650,"17,89924733","19,42610175","0,9214019138","-0,3555089003"
1700,"10,1768981","20,59222717","0,4942106561","-3,060878946"
1750,"11,47997501","21,52938825","0,5332234654","-2,73090747"
1800,"15,53615317","22,87252346","0,6792496332","-1,679705874"
1850,"18,68128005","22,60313913","0,8264905128","-0,827621273"
1900,"24,38152833","22,70752389","1,073720254","0,3089114565"
1950,"30,78752092","21,87657694","1,407328075","1,483953517"
2000,"17,58990895","22,14435666","0,7943291928","-0,999994762"
2050,"9,335397062","22,93179735","0,4070939979","-3,903053007"
2100,"12,96861355","23,42931896","0,5535207221","-2,568661158"
2150,"17,354545","24,23476881","0,7161011164","-1,450256492"
2200,"21,25267564","24,56068597","0,8653127875","-0,6282687827"
2250,"24,90042999","25,39168054","0,9806530903","-0,08484598741"
2300,"25,37485946","27,0631934","0,9376151249","-0,2797539556"
2350,"14,33688125","27,91669154","0,5135594678","-2,894092599"
2400,"9,967933087","28,01718568","0,3557792421","-4,488193944"
2450,"11,95139903","27,23762221","0,4387827593","-3,577504451"
2500,"14,42789389","27,36107153","0,5273146512","-2,779301618"
2550,"20,48833922","26,43624432","0,7750094519","-1,106930009"
2600,"28,71323575","24,63839167","1,165385961","0,6646978193"
2650,"28,66143911","24,39191207","1,175038637","0,7005214705"
2700,"17,34628938","23,61005285","0,7346993033","-1,33890372"
2750,"8,167833732","25,86990862","0,3157271969","-5,006880062"
2800,"9,722733687","25,22925094","0,3853754402","-4,141159662"
2850,"15,05838279","26,70900027","0,5637943254","-2,488792996"
2900,"20,15451624","27,25657557","0,7394368448","-1,310989131"
2950,"25,21190276","27,38839272","0,9205323955","-0,3596092313"
3000,"19,08313487","28,0478953","0,6803767151","-1,672505579"
3050,"11,362958","26,71388603","0,4253577329","-3,712456674"
3100,"6,1895267","26,11713739","0,2369910074","-6,25268133"
3150,"9,552184713","25,61330923","0,3729383278","-4,283629809"
3200,"14,5690796","25,35342404","0,5746395271","-2,40604504"
3250,"25,8149334","29,9658561","0,8614782542","-0,647556807"
3300,"32,48195236","28,08109251","1,156719681","0,6322812481"
3350,"26,54905854","29,00007411","0,9154824377","-0,3834998263"
3400,"11,66885781","28,52139991","0,409126405","-3,881424903"
3450,"8,039479005","30,52753615","0,2633517152","-5,794638488"
3500,"14,94519196","31,36618578","0,4764746362","-3,219602128"
3550,"18,10324746","32,73632262","0,5530018649","-2,572734041"
3600,"20,09306716","32,12889992","0,6253892044","-2,038496199"
3650,"18,49085289","29,23013327","0,6325955725","-1,98873852"